This Sheet will be updated on a Daily Basis,,,,,,,
Product Name ,Store Name ,Deal Price ,Regular Price,coupon code ,link ,Start Time ,End Time
"ECOVACS DEEBOT N30 Omni Care Robot Vacuum and Mop, 10000Pa Suction",,399.99,699.99,,https://amzn.to/4oWmf90,11/10/2025,12/1/2025
"ECOVACS DEEBOT T50 PRO Omni Robot Vacuum and Mop, 15,000Pa",,399.99,699.99,,https://www.dealsmocktail.com/blog/kqfgh8e0np3t6jaxpzfw7lmb/ecovacs-robot-vacuum-and-mop-deals,11/10/2025,12/1/2025
"ECOVACS DEEBOT X9 PRO Omni Robot Vacuum and Mop,16,600Pa",,699.99,1299.99,,,11/10/2025,12/1/2025
"ECOVACS DEEBOT X8 PRO OMNI Robot Vacuum and Mop, 18000Pa",,699.99,1099.99,,,11/10/2025,12/1/2025
,,,,,,,
Best Floor care Deals,,,,,,,
"Hoover PowerScrub XL, Upright Carpet Cleaner Machine, FH68010",,98,249.99,,https://dealsmocktail.com/12594-hoover-powerscrub-xl-upright-carpet-cleaner-machine,,
Dyson V12 Detect Slim Cordless Vacuum Cleaner,,399.99,729.99,,https://dealsmocktail.com/497-dyson-v12-detect-slim-cordless-vacuum-cleaner,,
"BISSELL PowerClean 200W Self-Standing Cordless Stick Vacuum, Model 4172",,78.88,148,,https://dealsmocktail.com/12595-bissell-powerclean-200w-self-standing-cordless-stick-vacuum,,
Tineco LiteVak Cordless Stick Vacuum,,99.99,299.99,,https://dealsmocktail.com/12629-tineco-litevak-cordless-stick-vacuum,,
"Tineco GO Cordless Floor Washer, Multi-Surface Wet Dry Vacuum / Mop (GH201)",,189.99,349.99,,https://dealsmocktail.com/7497-tineco-go-h2o-cordless-floor-washer-mutli-surface-wet-dry-vacuum-mop-gh201,,
Dyson 360 Vis Nav™ Robot Vacuum,,399,999,,https://dealsmocktail.com/12680-dyson-360-vis-navtm-robot-vacuum,,
,,,,,,,
Best Hair Care Deals,,,,,,,
Dyson (Hair care),,,,,,,
Dyson Supersonic Nural™ hair dryer,,349.99,549.99,,https://mavely.app.link/e/I7GHurnDcYb,,
Dyson Supersonic Nural™ Hair Dryer (Amber Silk),,449.99,549.99,,https://amzn.to/4hPPcRy,11/23/2025,12/20/2025
Dyson Airstrait™ Straightener,,449.99,549.99,,https://amzn.to/4nOS2ry,11/23/2025,12/20/2025
Dyson Airwrap i.d.™ Multi-Styler and Dryer,,549.99,649.99,,https://amzn.to/3JQRFi1,11/23/2025,12/20/2025
Shark (Haircare),,,,,,,
Shark FlexStyle® (Special Edition) | Air Styling & Drying System,,199,329,,https://www.dealsmocktail.com/blog/ieibw0rohh0c463m376aoje2/shark-hair-styling-deals,11/10/2025,
Shark FlexFusion Hair Straightener & Powerful Hair Dryer with Fusion Hair Brush,,299.99,429.99,,,,
"Shark Hair Dryer | SpeedStyle | No Heat Damage Hair Styling Tool, HD331",,149,229.99,,https://dealsmocktail.com/12634-shark-hair-dryer-speedstyle-no-heat-damage-hair-styling-tool,11/16/2025,12/6/2025
Shark HD430 FlexStyle Air Styling & Drying System,,199,349.99,,https://amzn.to/3LVfHJi,11/23/2025,12/6/2025
"Shark Hair Dryer | FlexStyle Hair Styling System, HD440BK",,229.99,369.99,,https://amzn.to/4ozbLfT,11/20/2025,12/1/2025
"Shark FlexStyle Air Styling & Drying System, HD457CR",,249.99,399.99,,https://amzn.to/4hPSog2,11/20/2025,12/1/2025
,,,,,,,
,,,,,,,
Smart Home (Security Cameras & Systems),,,,,,,
Blink Mini 2 — Home Security & Pet Camera with HD video,,17.99,39.99,,https://dealsmocktail.com/saleDetail/242-blink-early-black-friday-deals,,
Blink Video Doorbell (newest model) – Head-to-toe HD view,,29.99,69.99,,,,
"Blink Outdoor 4 – Wireless HD Security Camera with 2-Year Battery, Night Vision & Two-Way Talk (1-Cam System, Sync Module Core Included)",,27.99,79.99,,,,
Blink Video Doorbell + Outdoor 4 – Wireless HD Security System with 2-Year Battery & Sync Module Core (1-Cam + Doorbell),,37.99,139.98,,,,
"Blink Video Doorbell + Outdoor 4 XR – Wireless Security System with 2-Year Battery, 400ft Range & Sync Module XR (4Cameras)",,139.99,359.98,,,,
,,,,,,,
Kitchen Deals,,,,,,,
Ninja (Kitchen Appliances),,,,,,,
Ninja BL660 Professional 1100W Blender with 72 oz Pitcher & To-Go Cups,,79.99,139.99,,https://www.dealsmocktail.com/blog/nq7i4g80khdnbeziv5gzb3du/ninja-blender-now-available,11/23/2025,12/6/2025
"Ninja Professional 1000W Blender with 72 oz Pitcher – Total Crushing Technology, BL610",,69.99,109.99,,https://amzn.to/3JsT66n,11/23/2025,12/6/2025
Ninja Mega Kitchen System 1500W Blender & Food Processor Combo – BL770 (Black),,99.99,219.99,,https://amzn.to/4oVYqOo,11/23/2025,12/6/2025
Ninja | Air Fryer | 6.5 QT Pro XL Capacity fits 9lbs of Wings AF181,,89.99,179.99,,https://amzn.to/43TPmBE,11/23/2025,12/6/2025
"Ninja | XL Single Basket Air Fryer | 5.5 QT Capacity, AF150AMZ",,89.99,179.99,,https://amzn.to/4nNC4xC,11/23/2025,12/6/2025
"Ninja | Air Fryer | 4-in-1 Pro Air Fry, Roast, Reheat, Dehydrate | 5QT Capacity,  AF141",,79.99,129.99,,https://amzn.to/3LwrbmA,11/23/2025,12/6/2025
"Ninja Foodi Power Blender & Processor System, 6-in-1, 72-oz Pitcher + To-Go Cups, Silver (SS401)",,169.95,259.99,,https://dealsmocktail.com/12570-ninja-foodi-power-blender-processor-system-6-in-1-72-oz-pitcher-to-go-cups-silver-ss401,,
"Ninja Air Fryer, 10 QT, Cyberspace, DZ550​GY",,129,249.99,,https://dealsmocktail.com/12636-ninja-air-fryer-10-qt-cyberspace-dz550gy,,
,,,,,,,
Magic Bullet,,,,,,,
Magic Bullet Essential with To-Go LidMagic Bullet Essential with To-Go Lid,,16,35,,https://dealsmocktail.com/12558-magic-bullet-essential-with-to-go-lid-midnight-indigo,,
,,,,,,,
Keurig,,,,,,,
Keurig K-Supreme Single-Serve Coffee Maker with MultiStream & 66oz Reservoir,,99,189.99,,https://dealsmocktail.com/12572-keurig-k-supreme-single-serve-k-cup-pod-coffee-maker,,
"Keurig K-Express Essentials Plus, Iced and Hot Single-Serve K-Cup Pod Coffee Maker",,35,79,,https://dealsmocktail.com/12576-keurig-k-express-essentials-plus-iced-and-hot-single-serve-k-cup-pod-coffee-maker-black,,
Keurig K-Express Single Serve K-Cup Pod Coffee Maker,,79.99,109.99,,https://dealsmocktail.com/5668-keurig-k-express-k-cup-pod-coffee-maker,,
"Beautiful 2 Qt Manual Slow Cooker, 2-Pack",,17.88,39,,https://dealsmocktail.com/12575-beautiful-2-qt-manual-slow-cooker-2-pack,,
Carote 14 Pcs Knife Set with Wooden Block Stainless Steel Knives with Ergonomic Handle,,29.99,85.96,,https://dealsmocktail.com/4358-carote-14-pcs-knife-set-with-wooden-block-stainless-steel-knives-with-ergonomic-handle,,
"Ninja SLUSHi Frozen Drink Machine with RapidChill Technology, 72 oz",,229,299,,https://dealsmocktail.com/12592-ninja-slushi-frozen-drink-machine-with-rapidchill-technology-72-oz,,
"Astercook 22 Piece Pots and Pans Set Non Stick, Cookware Set",,66.49,179.98,,https://dealsmocktail.com/12593-astercook-22-piece-pots-and-pans-set-non-stick-cookware-set,,
Cook with Color 12-Piece Mixing Bowl Set with Non-Slip Silicone Base and Transparent Lids,,11.97,34.99,,https://dealsmocktail.com/12597-cook-with-color-12-piece-mixing-bowl-set-with-non-slip-silicone-base-and-transparent-lids,,
Smiaoer 6 Qt Compact Air Fryer Toaster Oven with Digital LED Touchscreen Electric Hot Oven,,36.99,156.99,,https://mavely.app.link/e/PGMpoe2AjYb,,
"GPED Panini Press Grill, Stainless Steel Sandwich Maker with Double Non-Stick Coated Plates & Removable Drip Tray",,22.99,59.99,,https://mavely.app.link/e/rBtAY3oBjYb,,
"Aroma® 20-Cup (Cooked) Rice Cooker, Grain Cooker & Food Steamer",,22.01,33.86,,https://mavely.app.link/e/PxPdLlSAjYb,,
"Bluebow Single Serve Coffee Maker for K Cup & Ground Coffee& Tea, Capsule Coffee Machine, 6-12oz Brew Size",,29.59,73.99,,https://mavely.app.link/e/4pkqYn8AjYb,,
"Titanium Cutting Boards for Kitchen, 10.5”×6.5”",,10.99,29.99,D7Q7JO9H,https://dealsmocktail.com/12644-titanium-cutting-boards-for-kitchen-10565,,
Stainless Steel Cutting Board - 16x11 Inch,,11.99,23.99, JLHDVNMC,https://dealsmocktail.com/12645-stainless-steel-cutting-board-16x11-inch,,
CAROTE 6pcs Pots and Pans Set Non Stick,,29.99,69.99,,https://dealsmocktail.com/12646-carote-6pcs-pots-and-pans-set-non-stick,,
 Sedona Kitchen Stainless Steel 3-Pc. Stock Pot Set,,38.6,193,,https://dealsmocktail.com/12676-sedona-kitchen-stainless-steel-3-pc-stock-pot-set,,
,,,,,,,
Air Fryer Deals,,,,,,,
Chefman TurboFry 2-Quart Digital Air Fryer,,29.99,49.99,,https://mavely.app.link/e/031SXrzBjYb,,
Gourmia 8-Quart Digital Window Air Fryer with 8 One-Touch Cooking Functions,,39,129,,https://dealsmocktail.com/12582-gourmia-8-quart-digital-window-air-fryer-with-8-one-touch-cooking-functions,Gourmia 8-Quart Digital Window Air Fryer with 8 One-Touch Cooking Functions,
Gourmia 4-Qt Digital Air Fryer,,45.59,60,,https://dealsmocktail.com/12577-gourmia-4-qt-digital-air-fryer,Gourmia 4-Qt Digital Air Fryer,
Chefman TurboFry® Touch 6-Qt Easy-View Air Fryer w/ 4 Cooking Presets and 450°F Hi-Fry Button,,49.99,99.99,,https://mavely.app.link/e/A7egARwdXUb,,
,,,,,,,
,,,,,,,
Nutribullet,,,,,,,
nutribullet Full-Size Blender Combo 1200W ,,79,160,,https://dealsmocktail.com/12574-nutribullet-full-size-blender-combo-1200w-nbf50500,,
,,,,,,,
(Home & Bedding),,,,,,,
"Holiday Printed Microfiber 3-Pc. Sheet Set, Twin",,7.99,30,,https://dealsmocktail.com/12523-sanders-holiday-printed-microfiber-3-pc-sheet-set-twin,11/10/2025,
"Clara Clark Queen Sheets Set, 1800 Series 4 Piece Deep Pocket Sheets",,17.69,69.99,,https://dealsmocktail.com/3006-clara-clark-bed-sheets-set-1800-series-deep-pocket-soft-microfiber-4-piece-queen-sheet-sets,,
VAVSEA Steamer for Clothes,,16.19,59.99,,https://dealsmocktail.com/9802-vavsea-steamer-for-clothes,,
BLACK+DECKER Easy Steam Compact Iron,,10.99,32.34,,https://dealsmocktail.com/12637-blackdecker-easy-steam-compact-iron,,
,,,,,,,
Health & Wellness,,,,,,,
arboleaf Scalp Massager,,33.99,40,,https://dealsmocktail.com/12648-arboleaf-scalp-massager,,
"RENPHO Shiatsu Foot Massager with Heat and Remote Control, FSA/HSA Eligible ",,67.99,105.99,,https://dealsmocktail.com/12649-renpho-shiatsu-foot-massager-with-heat-and-remote-control,,
COMFIER HSA Eligible Shiatsu Foot Massager Machine with Heat,,63.99,90,,https://dealsmocktail.com/12650-comfier-hsa-eligible-shiatsu-foot-massager-machine-with-heat,,
arboleaf Mini Massage Gun Deep Tissue,,44.99,57,,https://dealsmocktail.com/12651-arboleaf-mini-massage-gun-deep-tissue,,
RENPHO Eyeris 2 Eye Massager with Heat,,47.48,72.99,,,,
,,,,,,,
Laptop Deals,,,,,,,
HP 14 inch HD Chromebook Laptop Intel Processor N200 4GB RAM 128GB UFS Glacier Silver,,119,409.99,,https://dealsmocktail.com/12589-hp-14-inch-hd-chromebook-laptop-intel-processor-n200-4gb-ram-128gb-ufs-glacier-silver,,
HP 15.6 inch FHD IPS Windows Laptop Intel Core i3-N305 8GB RAM 256GB PCIe NVMe SSD,,219,549.99,,https://dealsmocktail.com/12588-hp-156-inch-fhd-ips-windows-laptop-intel-core-i3-n305-8gb-ram-256gb,,
Lenovo IdeaPad 5i 2-in-1 14” WUXGA Touchscreen Intel Core Ultra 5 AI 8GB Ram 512 SSD,,399,899.99,,https://dealsmocktail.com/11304-lenovo-ideapad-5i-2-in-1-14-wuxga-touchscreen-intel-core-ultra-5-ai-8gb-ram-512-ssd,,
"ASUS Vivobook 16"" WUXGA Laptop Intel Core i7-1355U 16GB RAM 512GB SSD Black",,399,649.99,,https://dealsmocktail.com/12591-asus-vivobook-16-wuxga-laptop,,
HP Victus 15.6 inch FHD 144Hz IPS Windows Gaming Laptop Intel Core i5-13420H 16GB RAM 512GB SSD RTX 4050,,499.99,1049.99,,https://dealsmocktail.com/8799-hp-victus-156-inch-fhd-144hz-ips-windows-laptop-intel-core-i5-13420h-16gb-ram-512gb-ssd,,
HP OmniBook 5 16 inch 2K Laptop Next Gen AI PC AMD Ryzen AI 7 350 16GB RAM 512GB SSD,,499.99,939.99,,https://dealsmocktail.com/5904-hp-omnibook-5,,
"Apple 2025 MacBook Air 13"" (M4) – 16GB RAM, 256GB SSD
",,749,999,,https://dealsmocktail.com/5491-apple-2025-macbook-air-13-inch-laptop,,
"Alienware 16"" Aurora Gaming Laptop Intel Core 7-240H, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 5050",,799,1249.99,,https://dealsmocktail.com/12590-alienware-16-aurora-gaming-laptop,,
"Dell 16” Laptop, Intel® Core™ 5, 8GB, 512GB, FHD+ Touch, Silver Metal, Backlit Keyboard",,379,699.99,,https://dealsmocktail.com/12623-dell-16-laptop-intel-coretm-5-8gb-512gb-fhd-touch-silver-metal-backlit-keyboard,,
,,,,,,,
Monitor Deals,,,,,,,
"LG 27” UltraGear FHD 144Hz Overclock Gaming Monitor with AMD FreeSync, 27G411A-B",,89,169.99,,https://dealsmocktail.com/12608-lg-27-ultragear-fhd-144hz-overclock-gaming-monitor-with-amd-freesync-27g411a-b,,
Dell Alienware 27 Gaming Monitor - AW2725DM,,189.99,269.99,,https://dealsmocktail.com/12658-dell-alienware-27-gaming-monitor-aw2725dm,,
Dell Alienware 27 360Hz QD-OLED Gaming Monitor - AW2725DF,,549.99,899.99,,https://dealsmocktail.com/4174-alienware-27-360hz-qd-oled-gaming-monitor-aw2725df,,
Dell Alienware 34 240Hz QD-OLED Gaming Monitor - AW3425DW,,649.99,799.99,,https://dealsmocktail.com/12657-alienware-34-240hz-qd-oled-gaming-monitor-aw3425dw,,
Dell Alienware 32 4K QD-OLED Gaming Monitor - AW3225QF,,799.99,1199.99,,https://dealsmocktail.com/5801-alienware-32-4k-qd-oled-gaming-monitor,,
Samsung 32 Inch Odyssey G5 G50DQHD | 180Hz | IPS | G-Sync Compatible | Gaming Monitor,,249.99,429.99,,https://dealsmocktail.com/12659-samsung-32-odyssey-g50d-qhd-fast-ips-180hz-1ms-displayhdr-400-g-sync-compatible-gaming-monitor,,
,,,,,,,
,,,,,,,
,,,,,,,
TV Deals,,,,,,,
